year,district,pop_total,age_0_19,age_20_39,age_40_64,age_65_79,age_80plus,pct_0_19,pct_20_39,pct_40_64,pct_65_79,pct_80plus
1982,304-Prélaz,2191,403,663,659,331,135,0.1839,0.3026,0.3008,0.1511,0.0616
1982,305-Gare de Sébeillon,14,2,5,4,3,0,0.1429,0.3571,0.2857,0.2143,0.0
1982,306-Av. de Provence,4,2,2,0,0,0,0.5,0.5,0.0,0.0,0.0
1982,307-Malley,1245,381,435,342,80,7,0.306,0.3494,0.2747,0.0643,0.0056
1982,4-Montoie/Bourdonnette,6839,1871,2420,1795,620,133,0.2736,0.3539,0.2625,0.0907,0.0194
1982,401-Montoie,3051,644,1027,920,368,92,0.2111,0.3366,0.3015,0.1206,0.0302
1982,402-Vallée de la Jeunesse,10,5,2,3,0,0,0.5,0.2,0.3,0.0,0.0
1982,403-Pyramides,1328,399,451,357,104,17,0.3005,0.3396,0.2688,0.0783,0.0128
1982,404-Prés-de-Vidy,771,159,315,188,93,16,0.2062,0.4086,0.2438,0.1206,0.0208
1982,405-Bourget,15,4,4,6,0,1,0.2667,0.2667,0.4,0.0,0.0667
1982,406-Bourdonnette,1664,660,621,321,55,7,0.3966,0.3732,0.1929,0.0331,0.0042
1982,5-Montriond/Cour,7708,1328,2386,2386,1279,329,0.1723,0.3095,0.3095,0.1659,0.0427
1982,501-Marc-Dufour,2856,462,902,835,528,129,0.1618,0.3158,0.2924,0.1849,0.0452
1982,502-Milan,9,3,4,2,0,0,0.3333,0.4444,0.2222,0.0,0.0
1982,503-Les Cèdres,75,14,50,9,2,0,0.1867,0.6667,0.12,0.0267,0.0
1982,504-Cour,1923,303,658,588,300,74,0.1576,0.3422,0.3058,0.156,0.0385
1982,505-Mont-d'Or,2841,546,771,949,449,126,0.1922,0.2714,0.334,0.158,0.0444
1982,506-Bellerive,4,0,1,3,0,0,0.0,0.25,0.75,0.0,0.0
1982,6-Sous-Gare/Ouchy,11484,1902,3547,3567,1882,586,0.1656,0.3089,0.3106,0.1639,0.051
1982,601-Grancy,3786,661,1312,1083,549,181,0.1746,0.3465,0.2861,0.145,0.0478
1982,602-Harpe,4760,770,1369,1546,832,243,0.1618,0.2876,0.3248,0.1748,0.0511
1982,603-Av. d'Ouchy,1394,243,390,429,254,78,0.1743,0.2798,0.3077,0.1822,0.056
