year,district,dw_total,dw_lt40,dw_40_59,dw_60_79,dw_80_99,dw_100_119,dw_120_159,dw_160plus,pct_small_surface,pct_large_surface
2015,1 - Centre,8334,1885,1710,2014,1301,630,558,236,0.4314,0.0953
2015,10 - Vallon/Béthusy,3592,562,1030,988,552,238,163,59,0.4432,0.0618
2015,11 - Chailly/Rovéréaz,4748,627,938,1226,755,394,400,408,0.3296,0.1702
2015,12 - Sallaz/Vennes/Séchaud,6328,1108,1068,1403,1374,813,413,149,0.3439,0.0888
2015,13 - Sauvabelin,377,68,49,166,72,15,6,1,0.3103,0.0186
2015,14 - Borde/Bellevaux,5138,628,1569,1739,711,327,127,37,0.4276,0.0319
2015,15 - Vinet/Pontaise,4484,1007,1202,1245,551,274,150,55,0.4926,0.0457
2015,16 - Bossons/Blécherette,3426,225,822,1455,567,256,88,13,0.3056,0.0295
2015,17 - Beaulieu/Grey/Boisy,3213,123,556,807,821,655,216,35,0.2113,0.0781
2015,2 - Maupas/Valency,8022,1179,2685,2566,975,343,213,61,0.4817,0.0342
2015,3 - Sébeillon/Malley,5298,694,1307,1811,800,469,153,64,0.3777,0.041
2015,4 - Montoie/Bourdonette,3707,523,1031,1267,627,165,69,25,0.4192,0.0254
2015,5 - Montriond/Cour,4622,585,1033,1453,788,366,244,153,0.3501,0.0859
2015,6 - Sous-Gare/Ouchy,6437,942,1511,1696,1052,633,386,217,0.3811,0.0937
2015,7 - Montchoisi,2242,244,598,775,317,123,126,59,0.3756,0.0825
2015,8 - Florimont/Chissiez,3248,409,751,760,480,252,354,242,0.3571,0.1835
2015,9 - Mousquines/Bellevue,1363,92,237,323,170,136,211,194,0.2414,0.2971
2015,90 - Zones foraines,1309,85,129,128,134,184,368,281,0.1635,0.4958
2016,1 - Centre,8405,1895,1728,2028,1330,626,562,236,0.4311,0.0949
2016,10 - Vallon/Béthusy,3595,563,1030,991,552,238,161,60,0.4431,0.0615
2016,11 - Chailly/Rovéréaz,4796,628,941,1235,766,408,407,411,0.3271,0.1706
2016,12 - Sallaz/Vennes/Séchaud,6879,1117,1212,1600,1513,861,429,147,0.3386,0.0837
2016,13 - Sauvabelin,417,68,51,184,92,15,6,1,0.2854,0.0168
2016,14 - Borde/Bellevaux,5144,628,1556,1751,715,329,128,37,0.4246,0.0321
2016,15 - Vinet/Pontaise,4484,1006,1207,1248,545,272,150,56,0.4935,0.0459
2016,16 - Bossons/Blécherette,3426,225,822,1455,567,256,90,11,0.3056,0.0295
2016,17 - Beaulieu/Grey/Boisy,3213,123,556,808,820,655,216,35,0.2113,0.0781
2016,2 - Maupas/Valency,8087,1182,2696,2579,989,362,215,64,0.4795,0.0345
2016,3 - Sébeillon/Malley,5693,699,1426,1950,896,504,153,65,0.3733,0.0383
2016,4 - Montoie/Bourdonette,3711,574,986,1259,631,166,70,25,0.4204,0.0256
2016,5 - Montriond/Cour,4660,584,1036,1457,795,379,255,154,0.3476,0.0878
2016,6 - Sous-Gare/Ouchy,6449,944,1514,1690,1064,635,383,219,0.3811,0.0933
2016,7 - Montchoisi,2262,244,598,785,324,123,126,62,0.3722,0.0831
2016,8 - Florimont/Chissiez,3249,409,749,762,479,253,354,243,0.3564,0.1837
2016,9 - Mousquines/Bellevue,1374,92,236,323,176,136,214,197,0.2387,0.2991
2016,90 - Zones foraines,1369,91,149,133,163,182,370,281,0.1753,0.4755
2017,1 - Centre,8371,1893,1737,2001,1322,630,557,231,0.4336,0.0941
2017,10 - Vallon/Béthusy,3625,591,1030,991,554,239,162,58,0.4472,0.0607
2017,11 - Chailly/Rovéréaz,4840,622,952,1239,785,420,412,410,0.3252,0.1698
2017,12 - Sallaz/Vennes/Séchaud,6957,1117,1225,1623,1538,868,439,147,0.3366,0.0842
2017,13 - Sauvabelin,417,68,51,184,92,15,6,1,0.2854,0.0168
2017,14 - Borde/Bellevaux,5175,634,1573,1753,719,331,128,37,0.4265,0.0319
2017,15 - Vinet/Pontaise,4496,1009,1217,1244,547,273,151,55,0.4951,0.0458
2017,16 - Bossons/Blécherette,3423,225,822,1455,566,256,88,11,0.3059,0.0289
2017,17 - Beaulieu/Grey/Boisy,3206,123,556,806,818,652,216,35,0.2118,0.0783
2017,2 - Maupas/Valency,8091,1183,2697,2578,999,355,217,62,0.4795,0.0345
2017,3 - Sébeillon/Malley,5713,739,1426,1944,894,502,153,55,0.379,0.0364
2017,4 - Montoie/Bourdonette,3825,574,1032,1300,649,172,73,25,0.4199,0.0256
2017,5 - Montriond/Cour,4645,586,1026,1453,789,386,253,152,0.347,0.0872
2017,6 - Sous-Gare/Ouchy,6406,945,1484,1675,1066,635,385,216,0.3792,0.0938
2017,7 - Montchoisi,2294,252,626,782,316,124,130,64,0.3827,0.0846
2017,8 - Florimont/Chissiez,3289,413,760,769,487,256,360,244,0.3566,0.1836
2017,9 - Mousquines/Bellevue,1375,92,237,323,176,136,216,195,0.2393,0.2989
2017,90 - Zones foraines,1385,91,154,133,167,183,373,284,0.1769,0.4744
2018,1 - Centre,8418,1896,1745,2019,1327,633,569,229,0.4325,0.0948
2018,10 - Vallon/Béthusy,3697,616,1053,1009,566,237,161,55,0.4514,0.0584
2018,11 - Chailly/Rovéréaz,4853,628,953,1240,788,420,412,412,0.3258,0.1698
2018,12 - Sallaz/Vennes/Séchaud,7017,1121,1230,1649,1545,891,435,146,0.335,0.0828
2018,13 - Sauvabelin,417,68,51,184,92,15,6,1,0.2854,0.0168
2018,14 - Borde/Bellevaux,5220,679,1574,1754,719,331,126,37,0.4316,0.0312
2018,15 - Vinet/Pontaise,4530,1013,1224,1256,556,276,150,55,0.4938,0.0453
2018,16 - Bossons/Blécherette,3449,228,840,1460,567,255,89,10,0.3097,0.0287
2018,17 - Beaulieu/Grey/Boisy,3204,121,556,809,820,649,214,35,0.2113,0.0777
2018,2 - Maupas/Valency,8141,1192,2713,2593,1009,355,217,62,0.4797,0.0343
2018,3 - Sébeillon/Malley,5871,800,1444,1952,948,516,153,58,0.3822,0.0359
2018,4 - Montoie/Bourdonette,3826,575,1032,1301,649,170,74,25,0.42,0.0259
2018,5 - Montriond/Cour,4656,576,1027,1467,794,391,250,151,0.3443,0.0861
2018,6 - Sous-Gare/Ouchy,6419,944,1489,1683,1067,635,387,214,0.379,0.0936
2018,7 - Montchoisi,2297,251,627,790,313,123,127,66,0.3822,0.084
2018,8 - Florimont/Chissiez,3294,415,761,771,489,256,362,240,0.357,0.1828
2018,9 - Mousquines/Bellevue,1400,108,242,319,181,140,218,192,0.25,0.2929
2018,90 - Zones foraines,1548,97,205,184,190,210,378,284,0.1951,0.4276
2019,1 - Centre,8420,1897,1736,2021,1331,631,575,229,0.4315,0.0955
