year,district,establishments,jobs_total,jobs_men,jobs_women,fte_total,fte_men,fte_women,pct_jobs_women,pct_fte_women,gender_fte_gap
2013,Ville de Lausanne,11658,115151.0,56730,58421.0,90520.84340700001,48890.232490799935,41630.61091620007,0.5073,0.4599,0.0474
2014,1 - Centre,4870,45791.0,21970,23821.0,34720.27966670003,18469.30910859999,16250.970558100038,0.5202,0.4681,0.0521
2014,10 - Vallon/Béthusy,346,12021.0,4172,7849.0,10138.645348099992,3811.1145967000048,6327.530751399987,0.6529,0.6241,0.0288
2014,11 - Chailly/Rovéréaz,417,2549.0,1029,1520.0,1839.9046790999994,838.4927124999996,1001.4119665999998,0.5963,0.5443,0.052
2014,12 - Sallaz/Vennes/Séchaud,509,6991.0,3706,3285.0,5648.819206600003,3297.889249800002,2350.929956800001,0.4699,0.4162,0.0537
2014,13 - Sauvabelin,32,454.0,210,244.0,391.7377598,193.07062710000002,198.66713269999997,0.5374,0.5071,0.0303
2014,14 - Borde/Bellevaux,382,2367.0,1296,1071.0,1805.9969021999989,1103.4420940999994,702.5548080999995,0.4525,0.389,0.0635
2014,15 - Vinet/Pontaise,498,2594.0,993,1601.0,1877.6366507999992,813.6692561999994,1063.9673945999998,0.6172,0.5667,0.0505
2014,16 - Bossons/Blécherette,313,3128.0,1640,1488.0,2536.8261825,1452.9058395000002,1083.9203429999998,0.4757,0.4273,0.0484
2014,17 - Beaulieu/Grey/Boisy,227,1856.0,826,1030.0,1495.5032738999994,739.9550072,755.5482666999994,0.555,0.5052,0.0498
2014,2 - Maupas/Valency,695,3021.0,1386,1635.0,2307.2432145999996,1177.3130245999998,1129.9301899999998,0.5412,0.4897,0.0515
2014,3 - Sébeillon/Malley,895,9226.0,5812,3414.0,7555.083563099999,5125.4052124,2429.678350699999,0.37,0.3216,0.0484
2014,4 - Montoie/Bourdonnette,289,3504.0,1822,1682.0,2855.547108700002,1641.1003159999998,1214.446792700002,0.48,0.4253,0.0547
2014,5 - Montriond/Cour,502,7060.0,3851,3209.0,6082.538869800002,3525.857918600002,2556.6809512000004,0.4545,0.4203,0.0342
2014,6 - Sous-Gare/Ouchy,1039,8590.0,4439,4151.0,6739.430170099997,3742.3852033000026,2997.044966799994,0.4832,0.4447,0.0385
2014,7 - Montchoisi,176,1170.0,478,692.0,873.6529389999998,396.9393375999999,476.71360139999996,0.5915,0.5457,0.0458
2014,8 - Florimont/Chissiez,322,1348.0,636,712.0,1051.8238948000003,531.6756084999995,520.1482863000008,0.5282,0.4945,0.0337
2014,9 - Mousquines/Bellevue,183,1245.0,597,648.0,1011.2225796000002,532.827119,478.3954606000002,0.5205,0.4731,0.0474
2014,90 - Zones foraines,266,3336.0,1883,1453.0,2634.834447300001,1615.5132592999994,1019.3211880000017,0.4356,0.3869,0.0487
2014,Ville de Lausanne,11961,116251.0,56746,59505.0,91566.72645670002,49008.86549100001,42557.86096570001,0.5119,0.4648,0.0471
2015,1 - Centre,4942,46801.0,22566,24235.0,35532.42992400007,18922.0952742,16610.33464980007,0.5178,0.4675,0.0503
2015,10 - Vallon/Béthusy,400,11275.0,3812,7463.0,9374.955631399991,3433.719235300001,5941.23639609999,0.6619,0.6337,0.0282
2015,11 - Chailly/Rovéréaz,433,2651.0,1110,1541.0,1904.9964629999988,889.2213718999998,1015.775091099999,0.5813,0.5332,0.0481
2015,12 - Sallaz/Vennes/Séchaud,543,7560.0,4126,3434.0,6162.102908000001,3684.2132212000056,2477.889686799995,0.4542,0.4021,0.0521
2015,13 - Sauvabelin,38,467.0,217,250.0,399.8303274000001,196.89428660000004,202.93604080000006,0.5353,0.5076,0.0277
2015,14 - Borde/Bellevaux,402,2393.0,1287,1106.0,1829.9939146,1085.2776909000004,744.7162236999995,0.4622,0.407,0.0552
2015,15 - Vinet/Pontaise,500,2497.0,913,1584.0,1803.2074669000012,737.2735670999998,1065.9338998000014,0.6344,0.5911,0.0433
2015,16 - Bossons/Blécherette,314,3412.0,1775,1637.0,2772.0691317,1575.0671303000001,1197.0020014,0.4798,0.4318,0.048
2015,17 - Beaulieu/Grey/Boisy,237,1825.0,837,988.0,1477.9329887000006,740.7346729999995,737.1983157000011,0.5414,0.4988,0.0426
2015,2 - Maupas/Valency,732,3458.0,1455,2003.0,2627.3652381000006,1223.9198387000013,1403.4453993999994,0.5792,0.5342,0.045
2015,3 - Sébeillon/Malley,966,9434.0,5768,3666.0,7703.106845600003,5096.570633899998,2606.536211700005,0.3886,0.3384,0.0502
2015,4 - Montoie/Bourdonnette,299,3424.0,1746,1678.0,2800.7904367,1561.2371252,1239.5533115,0.4901,0.4426,0.0475
2015,5 - Montriond/Cour,537,6719.0,3678,3041.0,5777.187545900003,3353.9784372000026,2423.2091087000003,0.4526,0.4194,0.0332
2015,6 - Sous-Gare/Ouchy,1073,8263.0,4294,3969.0,6516.504588699989,3635.2803690000055,2881.224219699983,0.4803,0.4421,0.0382
2015,7 - Montchoisi,189,1216.0,508,708.0,916.9151665999997,428.09101580000004,488.82415079999964,0.5822,0.5331,0.0491
2015,8 - Florimont/Chissiez,318,1281.0,574,707.0,977.4843845999998,478.8736990999998,498.6106855,0.5519,0.5101,0.0418
2015,9 - Mousquines/Bellevue,190,1053.0,490,563.0,817.1151241999994,424.16725350000013,392.94787069999927,0.5347,0.4809,0.0538
2015,90 - Zones foraines,271,3440.0,1911,1529.0,2710.4219397,1632.2832109999993,1078.138728700001,0.4445,0.3978,0.0467
2015,Ville de Lausanne,12384,117169.0,57067,60102.0,92104.41002580005,49098.89803390001,43005.511991900035,0.513,0.4669,0.0461
2016,1 - Centre,4970,47048.0,22530,24518.0,35515.50484380029,18858.90079369998,16656.60405010031,0.5211,0.469,0.0521
2016,10 - Vallon/Béthusy,408,11785.0,3971,7814.0,9805.119237699995,3580.992893700001,6224.126343999995,0.663,0.6348,0.0282
2016,11 - Chailly/Rovéréaz,420,2491.0,985,1506.0,1773.023445600001,771.9839961,1001.039449500001,0.6046,0.5646,0.04
2016,12 - Sallaz/Vennes/Séchaud,559,8008.0,4369,3639.0,6551.622053899989,3942.0969046999994,2609.5251491999893,0.4544,0.3983,0.0561
2016,13 - Sauvabelin,37,463.0,209,254.0,381.6196243,185.8601245,195.7594998,0.5486,0.513,0.0356
2016,14 - Borde/Bellevaux,411,2407.0,1305,1102.0,1846.8146335999988,1112.2497350999993,734.5648984999996,0.4578,0.3977,0.0601
2016,15 - Vinet/Pontaise,508,2583.0,992,1591.0,1896.0092250000007,794.3240452999993,1101.6851797000013,0.616,0.5811,0.0349
2016,16 - Bossons/Blécherette,318,3511.0,1798,1713.0,2877.482994400001,1607.1279435999995,1270.3550508000017,0.4879,0.4415,0.0464
2016,17 - Beaulieu/Grey/Boisy,245,1909.0,876,1033.0,1561.5326285,776.0460378,785.4865907000001,0.5411,0.503,0.0381
2016,2 - Maupas/Valency,739,3211.0,1409,1802.0,2423.447191600002,1191.0048430999996,1232.4423485000025,0.5612,0.5085,0.0527
2016,3 - Sébeillon/Malley,953,10209.0,6137,4072.0,8197.366072899995,5326.8497427,2870.5163301999946,0.3989,0.3502,0.0487
